"ID","CODIGO_PEDIDO","CODIGO_CLIENTE","NOME_FARMACIA","QUANTIDADE_PRODUTOS","VALOR_COMPRA","METODO_PAGAMENTO"
1,"1617331","7728",FARMACIA B,4,36.83,CARTAO DE CREDITO
2,"79615645","6678",FARMACIA B,6,373.38,CARTAO DE DEBITO
3,"46341958","4247",FARMACIA B,3,110.15,DINHEIRO EM ESPECIE
4,"1559053","6631",FARMACIA B,1,69.85,CARTAO DE DEBITO
5,"66840800","4321",FARMACIA B,6,328.93,DINHEIRO EM ESPECIE
6,"15008143","5985",FARMACIA B,1,83.82,CARTAO DE DEBITO
7,"17381850","6895",FARMACIA B,3,254.00,CARTAO DE DEBITO
8,"7848170","3882",FARMACIA B,2,64.90,CARTAO DE DEBITO
9,"59675453","4462",FARMACIA B,4,441.96,PIX
10,"93055796","3630",FARMACIA B,4,80.01,CARTAO DE CREDITO
11,"17755184","9919",FARMACIA B,8,453.39,CARTAO DE CREDITO
12,"26551653","8960",FARMACIA B,5,171.45,PIX
13,"83478732","1947",FARMACIA B,5,280.67,CARTAO DE CREDITO
14,"21798838","6419",FARMACIA B,4,169.80,CARTAO DE CREDITO
15,"91020063","1069",FARMACIA B,3,297.18,CARTAO DE DEBITO
16,"1036218","3927",FARMACIA B,7,354.33,CARTAO DE CREDITO
17,"12641117","8332",FARMACIA B,9,415.29,CARTAO DE CREDITO
18,"89130524","5182",FARMACIA B,6,320.04,CARTAO DE DEBITO
19,"44089611","2472",FARMACIA B,1,250.19,CARTAO DE CREDITO
20,"442078","9108",FARMACIA B,10,565.15,DINHEIRO EM ESPECIE
21,"46777338","9315",FARMACIA B,1,74.93,CARTAO DE DEBITO
22,"30938832","3983",FARMACIA B,8,477.52,PIX
23,"35048412","4630",FARMACIA B,2,74.90,PIX
24,"75065835","1311",FARMACIA B,1,309.88,PIX
25,"69353056","9304",FARMACIA B,3,159.80,PIX
26,"95957871","2779",FARMACIA B,5,83.82,DINHEIRO EM ESPECIE
27,"17049461","1809",FARMACIA B,2,22.86,DINHEIRO EM ESPECIE
28,"50283882","2223",FARMACIA B,4,215.30,DINHEIRO EM ESPECIE
29,"92594077","9218",FARMACIA B,4,149.86,PIX
30,"51604602","6668",FARMACIA B,5,69.85,CARTAO DE CREDITO
31,"57348079","1499",FARMACIA B,8,361.95,CARTAO DE CREDITO
32,"90574026","9914",FARMACIA B,1,182.88,DINHEIRO EM ESPECIE
33,"75505242","9983",FARMACIA B,6,481.33,DINHEIRO EM ESPECIE
34,"41381818","5051",FARMACIA B,1,101.60,CARTAO DE CREDITO
35,"4516231","8306",FARMACIA B,5,290.83,CARTAO DE DEBITO
36,"27679662","6774",FARMACIA B,5,243.84,CARTAO DE CREDITO
37,"55593752","9509",FARMACIA B,9,537.21,CARTAO DE CREDITO
38,"26914894","5038",FARMACIA B,4,499.11,CARTAO DE CREDITO
39,"5561985","3168",FARMACIA B,4,216.60,PIX
40,"77548901","2712",FARMACIA B,8,303.53,PIX
41,"72940722","9106",FARMACIA B,9,367.03,CARTAO DE DEBITO
42,"99969074","6819",FARMACIA B,1,99.90,DINHEIRO EM ESPECIE
43,"94839799","2120",FARMACIA B,3,119.90,CARTAO DE CREDITO
44,"42464377","8825",FARMACIA B,8,557.53,CARTAO DE CREDITO
45,"59962958","5271",FARMACIA B,3,159.90,CARTAO DE CREDITO
46,"41366503","8248",FARMACIA B,2,289.56,CARTAO DE CREDITO
47,"30577201","6438",FARMACIA B,3,110.00,PIX
48,"9675485","7355",FARMACIA B,4,179.80,PIX
49,"33383780","1009",FARMACIA B,1,166.37,CARTAO DE DEBITO
50,"52847430","6601",FARMACIA B,4,294.64,CARTAO DE CREDITO
51,"68018780","4305",FARMACIA B,6,322.10,CARTAO DE CREDITO
52,"2494610","4677",FARMACIA B,1,274.32,CARTAO DE DEBITO
53,"90781872","5628",FARMACIA B,1,220.98,DINHEIRO EM ESPECIE
54,"84876940","1368",FARMACIA B,3,140.97,CARTAO DE DEBITO
55,"63285458","5203",FARMACIA B,7,374.65,CARTAO DE DEBITO
56,"80940570","3591",FARMACIA B,1,278.13,CARTAO DE DEBITO
57,"13084956","4289",FARMACIA B,10,297.18,CARTAO DE CREDITO
58,"57357927","7931",FARMACIA B,7,311.15,CARTAO DE DEBITO
59,"61683173","2591",FARMACIA B,2,308.61,CARTAO DE DEBITO
60,"3695583","8902",FARMACIA B,2,222.25,PIX
61,"89674121","6593",FARMACIA B,2,157.48,PIX
62,"73381429","7952",FARMACIA B,5,210.20,CARTAO DE CREDITO
63,"34758100","2191",FARMACIA B,5,304.80,CARTAO DE DEBITO
64,"91770432","8961",FARMACIA B,8,335.28,DINHEIRO EM ESPECIE
65,"72392538","9909",FARMACIA B,5,208.28,PIX
66,"63206229","9473",FARMACIA B,3,369.80,CARTAO DE DEBITO
67,"33672264","2681",FARMACIA B,1,48.26,PIX
68,"54853985","4785",FARMACIA B,4,27.94,PIX
69,"30730426","5783",FARMACIA B,3,20.32,DINHEIRO EM ESPECIE
70,"80356950","8661",FARMACIA B,3,210.20,CARTAO DE DEBITO
71,"62412876","7273",FARMACIA B,8,473.71,CARTAO DE CREDITO
72,"5805179","3608",FARMACIA B,8,547.37,CARTAO DE DEBITO
73,"1832830","4084",FARMACIA B,4,160.02,CARTAO DE CREDITO
74,"61038139","1934",FARMACIA B,5,235.40,DINHEIRO EM ESPECIE
75,"37652494","2172",FARMACIA B,9,323.85,PIX
76,"2991832","5533",FARMACIA B,2,45.72,DINHEIRO EM ESPECIE
77,"59836563","3119",FARMACIA B,3,43.18,CARTAO DE CREDITO
78,"8973348","9522",FARMACIA B,3,75.90,DINHEIRO EM ESPECIE
79,"39559860","1626",FARMACIA B,9,425.45,CARTAO DE CREDITO
80,"1345146","5986",FARMACIA B,1,45.72,CARTAO DE CREDITO
81,"7891598","7486",FARMACIA B,4,22.86,CARTAO DE DEBITO
82,"96671102","8671",FARMACIA B,3,64.70,PIX
83,"38657373","2246",FARMACIA B,2,287.02,CARTAO DE DEBITO
84,"20316439","6361",FARMACIA B,10,439.42,CARTAO DE DEBITO
85,"73938343","6084",FARMACIA B,9,490.22,PIX
86,"20010701","2994",FARMACIA B,10,295.91,CARTAO DE CREDITO
87,"77137293","7783",FARMACIA B,8,593.09,CARTAO DE DEBITO
88,"13977579","3654",FARMACIA B,7,593.09,CARTAO DE CREDITO
89,"89435986","6013",FARMACIA B,1,43.18,CARTAO DE DEBITO
90,"47357575","8675",FARMACIA B,7,350.70,CARTAO DE CREDITO
91,"6384769","1544",FARMACIA B,8,567.69,PIX
92,"89630783","6640",FARMACIA B,10,383.54,DINHEIRO EM ESPECIE
93,"62663317","9030",FARMACIA B,9,415.29,PIX
94,"12272637","7880",FARMACIA B,7,361.95,DINHEIRO EM ESPECIE
95,"30464261","5888",FARMACIA B,4,267.97,PIX
96,"93877008","9399",FARMACIA B,2,139.70,PIX
97,"74242332","2151",FARMACIA B,5,299.72,CARTAO DE DEBITO
98,"25399873","4171",FARMACIA B,2,137.16,DINHEIRO EM ESPECIE
99,"94972911","3419",FARMACIA B,12,566.42,CARTAO DE DEBITO
100,"66207899","7453",FARMACIA B,7,367.03,DINHEIRO EM ESPECIE
101,"22355561","7040",FARMACIA B,11,403.86,CARTAO DE DEBITO
102,"43184480","9550",FARMACIA B,2,100.33,CARTAO DE DEBITO
103,"81278600","7913",FARMACIA B,5,242.57,CARTAO DE CREDITO
104,"8203660","5302",FARMACIA B,8,341.63,DINHEIRO EM ESPECIE
105,"55399958","6974",FARMACIA B,9,524.51,DINHEIRO EM ESPECIE
106,"45520780","4020",FARMACIA B,8,374.65,PIX
107,"97797723","3340",FARMACIA B,10,528.32,DINHEIRO EM ESPECIE
108,"3194282","2690",FARMACIA B,11,488.95,PIX
109,"97746905","7002",FARMACIA B,4,295.91,PIX
110,"51847138","6406",FARMACIA B,6,580.39,DINHEIRO EM ESPECIE
111,"32098640","1141",FARMACIA B,3,241.30,CARTAO DE CREDITO
112,"18764254","9141",FARMACIA B,4,20.32,DINHEIRO EM ESPECIE
113,"21441312","9756",FARMACIA B,6,422.91,DINHEIRO EM ESPECIE
114,"36418499","1995",FARMACIA B,2,26.67,DINHEIRO EM ESPECIE
115,"52436094","7359",FARMACIA B,6,381.00,CARTAO DE DEBITO
116,"95446502","2815",FARMACIA B,8,510.54,DINHEIRO EM ESPECIE
117,"10106896","2076",FARMACIA B,10,499.11,CARTAO DE DEBITO
118,"2296881","2775",FARMACIA B,5,400.05,CARTAO DE DEBITO
119,"39645873","8585",FARMACIA B,10,347.98,CARTAO DE CREDITO
120,"73387445","8821",FARMACIA B,3,187.96,PIX
121,"27385618","9111",FARMACIA B,3,90.17,CARTAO DE CREDITO
122,"19495803","8001",FARMACIA B,9,495.30,CARTAO DE DEBITO
123,"97331574","2579",FARMACIA B,6,593.09,CARTAO DE DEBITO
124,"6590473","9973",FARMACIA B,2,205.74,CARTAO DE CREDITO
125,"84826175","3198",FARMACIA B,7,290.83,PIX
126,"46516633","9107",FARMACIA B,7,577.85,PIX
127,"80336764","6660",FARMACIA B,1,92.71,CARTAO DE DEBITO
128,"64168148","3866",FARMACIA B,11,379.73,CARTAO DE DEBITO
129,"2589834","1559",FARMACIA B,5,12.70,PIX
130,"23514299","2529",FARMACIA B,2,101.60,CARTAO DE DEBITO
131,"61071612","1302",FARMACIA B,3,81.28,CARTAO DE CREDITO
132,"74750677","3154",FARMACIA B,8,421.64,CARTAO DE DEBITO
133,"67908370","1303",FARMACIA B,6,326.39,CARTAO DE DEBITO
134,"56104712","8015",FARMACIA B,4,181.61,CARTAO DE DEBITO
135,"78060257","5971",FARMACIA B,4,73.66,DINHEIRO EM ESPECIE
136,"96151853","9779",FARMACIA B,3,101.60,DINHEIRO EM ESPECIE
137,"31785638","6820",FARMACIA B,1,288.29,CARTAO DE DEBITO
138,"23407290","4373",FARMACIA B,7,407.67,DINHEIRO EM ESPECIE
139,"50460177","1832",FARMACIA B,1,133.35,PIX
140,"92255208","6451",FARMACIA B,12,407.67,CARTAO DE DEBITO
141,"21115541","5889",FARMACIA B,8,386.08,PIX
142,"32291781","7741",FARMACIA B,9,386.08,CARTAO DE CREDITO
143,"94948958","1814",FARMACIA B,11,289.56,PIX
144,"1025592","3276",FARMACIA B,2,162.56,DINHEIRO EM ESPECIE
145,"72502768","4126",FARMACIA B,3,24.13,DINHEIRO EM ESPECIE
146,"44824856","2790",FARMACIA B,9,266.70,CARTAO DE CREDITO
147,"54125908","9071",FARMACIA B,2,173.99,PIX
148,"73994007","2808",FARMACIA B,6,424.18,CARTAO DE CREDITO
149,"59611255","9457",FARMACIA B,2,283.21,PIX
150,"54752792","6867",FARMACIA B,5,134.62,CARTAO DE DEBITO
151,"54752793","8807",FARMACIA B,11,408.94,PIX
152,"54752794","1413",FARMACIA B,3,288.29,CARTAO DE CREDITO
153,"54752795","4015",FARMACIA B,7,436.88,DINHEIRO EM ESPECIE
154,"54752796","5794",FARMACIA B,5,283.21,CARTAO DE CREDITO
155,"54752797","2470",FARMACIA B,7,351.79,PIX
156,"54752798","3399",FARMACIA B,9,403.86,CARTAO DE DEBITO
157,"54752799","4365",FARMACIA B,10,434.34,DINHEIRO EM ESPECIE
158,"54752800","7080",FARMACIA B,3,219.71,DINHEIRO EM ESPECIE
159,"54752801","7618",FARMACIA B,3,125.73,CARTAO DE CREDITO
