"ID","CODIGO_PEDIDO","CODIGO_CLIENTE","NOME_FARMACIA","QUANTIDADE_PRODUTOS","VALOR_COMPRA","METODO_PAGAMENTO"
1,"70196879","3983",FARMACIA C,7,336.55,DINHEIRO EM ESPECIE
2,"48877225","4630",FARMACIA C,9,309.88,CARTAO DE DEBITO
3,"58252761","1311",FARMACIA C,1,314.96,CARTAO DE DEBITO
4,"27598036","9304",FARMACIA C,5,315.90,PIX
5,"81560928","2779",FARMACIA C,2,247.65,DINHEIRO EM ESPECIE
6,"32582980","1809",FARMACIA C,3,130.81,CARTAO DE DEBITO
7,"46141998","2223",FARMACIA C,1,299.72,CARTAO DE CREDITO
8,"43111645","9218",FARMACIA C,6,497.84,CARTAO DE CREDITO
9,"31778187","6668",FARMACIA C,5,356.70,CARTAO DE CREDITO
10,"78052202","1499",FARMACIA C,5,193.04,CARTAO DE CREDITO
11,"89374425","9914",FARMACIA C,4,128.27,DINHEIRO EM ESPECIE
12,"49118107","9983",FARMACIA C,4,54.61,PIX
13,"59015490","5051",FARMACIA C,10,469.90,PIX
14,"72018471","5032",FARMACIA C,9,543.56,DINHEIRO EM ESPECIE
15,"20462323","5714",FARMACIA C,7,330.20,CARTAO DE DEBITO
16,"6583889","1248",FARMACIA C,2,243.84,CARTAO DE DEBITO
17,"45204328","6244",FARMACIA C,9,593.09,DINHEIRO EM ESPECIE
18,"50108036","7057",FARMACIA C,7,501.65,CARTAO DE CREDITO
19,"8261259","1783",FARMACIA C,5,302.26,CARTAO DE DEBITO
20,"50213015","1386",FARMACIA C,5,48.26,PIX
21,"98665027","1273",FARMACIA C,2,290.83,DINHEIRO EM ESPECIE
22,"55986216","2321",FARMACIA C,9,499.11,DINHEIRO EM ESPECIE
23,"84590405","9396",FARMACIA C,7,434.34,CARTAO DE DEBITO
24,"48604001","9707",FARMACIA C,3,226.06,DINHEIRO EM ESPECIE
25,"72126529","2530",FARMACIA C,2,316.23,DINHEIRO EM ESPECIE
26,"87601625","3251",FARMACIA C,2,254.00,DINHEIRO EM ESPECIE
27,"51246434","1015",FARMACIA C,5,123.19,CARTAO DE DEBITO
28,"36707551","3243",FARMACIA C,3,171.45,CARTAO DE DEBITO
29,"66685238","6801",FARMACIA C,2,100.33,CARTAO DE CREDITO
30,"70321786","8009",FARMACIA C,7,558.80,PIX
31,"16121715","1924",FARMACIA C,11,477.52,CARTAO DE DEBITO
32,"17132005","5727",FARMACIA C,5,415.80,CARTAO DE CREDITO
33,"67251055","2106",FARMACIA C,7,530.86,CARTAO DE DEBITO
34,"94371462","5751",FARMACIA C,5,125.73,PIX
35,"82595718","7416",FARMACIA C,3,72.39,DINHEIRO EM ESPECIE
36,"17863103","4397",FARMACIA C,1,297.90,PIX
37,"2649387","5803",FARMACIA C,6,461.01,DINHEIRO EM ESPECIE
38,"52394136","7080",FARMACIA C,3,292.10,CARTAO DE DEBITO
39,"81024716","7618",FARMACIA C,4,250.19,PIX
40,"10905225","8339",FARMACIA C,2,187.96,CARTAO DE DEBITO
41,"23197533","5627",FARMACIA C,1,59.90,DINHEIRO EM ESPECIE
42,"99615099","9128",FARMACIA C,8,334.01,CARTAO DE DEBITO
43,"56694867","9039",FARMACIA C,8,289.56,CARTAO DE DEBITO
